,,Ano,compositores,visualizacoes,letra
Appetite for Destruction [Edited],Anything Goes,1987,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler, Christopher Weber",2329448,"I've been thinkin' 'bout Thinkin' 'bout sex Always hungry for somethin' That I haven't had yet Well maybe baby, you got somethin' to lose Well I got somethin' I got somethin' for you  My way, your way Anything goes tonight My way, your way Anything goes  Panties round your knees With your ass in debris Doing that grind With a push and a squeeze Tied up, tied down Up against the wall Be my rubbermade baby And we can do it all  My way, your way Anything goes tonight My way, your way Anything goes tonight  My way, your way Anything goes tonight My way, your way Anything goes tonight  My way, your way Anything goes tonight My way, your way Anything goes tonight  My way, your way Anything goes tonight My way, your way Anything goes tonight  My way, your way Anything goes tonight, tonight Tonight Anything goes tonight, whoa  Anything goes tonight"
Appetite for Destruction [Edited],Rocket Queen,1987,"W. Axl Rose, Izzy Stradlin, Duff Rose Mckagan, Steven Adler, Saul Hudson",22486056,"If I say I don't need anyone I can say these things to you 'Cause I can turn on anyone Just like I've turned on you I've got a tongue like a razor A sweet switchblade knife And I can do you favors But then you'll do whatever I like  Here I am And you're a Rocket Queen I might be a little young But honey I ain't naive Here I am And you're a Rocket Queen oh yeah I might be too much But honey you're a bit obscene  I've seen everything imaginable Pass before these eyes I've had everything that's tangible Honey you'd be surprised I'm a sexual innuendo In this burned out paradise If you turn me on to anything You better turn me on tonight  Here I am And you're a Rocket Queen I might be a little young But honey I ain't naive Here I am And you're a Rocket Queen oh yeah I might be too much But honey you're a bit obscene  I see you standin' Standin' on your own It's such a lonely place for you For you to be If you need a shoulder Or if you need a friend I'll be here standing Until the bitter end No one needs the sorrow No one needs the pain I hate to see you Walking out there Out in the rain So don't chastise me Or think I, I mean you harm Of those that take you Leave you strung out Much too far Baby-yeah  Don't ever leave me Say you'll always be there All I ever wanted Was for you To know that I care"
G N' R Lies,Reckless Life,1988,"W. Axl Rose, Christopher Garrison Weber, Duff Mckagan, Izzy Stradlin, Steven Adler, Saul Hudson",847354,"I'm reckless and feelin' no pain You know I've got no need to control Livin' with the danger I'm always on the edge now With million dollar visions that I hold Livin' like this never ever Tore my life apart I know how to maintain And you know I know my part  On a holiday, a permanent vacation I'm living on a cigarette with wine I'm never alone 'cause I've got myself Yes, I imitate myself all of the time  Livin' like this never ever Tore my life apart I know how to maintain Cause it's comin' from my heart  I lead a reckless life And I don't need your advice I lead a reckless life And you know it's my only vice  Reckless life I lead a reckless life I lead a reckless life And you know it's my only  Reckless life I lead a reckless life I lead a reckless life And you know it's my only Hey, hey, yeah!"
G N' R Lies,Nice Boys,1988,"Gordon Leach, Gary Anderson, Dallas Royall, Michael Cocks, Peter Wells",524320,"She hit town like a rose in bloom Smellin' sweet, said sweet perfume The color faded and the petals died Down in the city, no one cried In the streets, the garbage lies Protected by a million flies The roaches so big You know that they got bones They moved in and made a tenement home  I said nice boys Don't play rock and roll Nice boys don't play rock and roll I'm not a nice boy!  Sweet sixteen she was fresh and clean Wanted so bad to be part of the scene She met the man and she did the smack Paid the price layin' flat on her back Wanted so bad just to please the boys They ended up just being a toy Played so hard burned her life away Lies were told no promises made  You know nice boys Don't play rock and roll Nice boys don't play rock and roll I'm not a nice boy and I never was!  Young and fresh when she hit town Hot for kicks just to get around But now she lays in a filthy room She kills the pain with A flick and a spoon And in the streets the garbage lies Protected by a million flies You know the roaches so big You know that they got bones Moved in and made a tenement home  Nice boys don't play rock and roll Nice boys don't play rock and roll Nice boys don't play rock and roll Nice boys don't play rock and roll Nice boys don't play rock and roll No,no,no,no,no,no,no,no baby Nice boys don't play rock and roll Nice boys don't play rock and roll I bet you mama said 'Nice boys don't play rock and roll' Nice boys don't play rock and roll Nice boys don't play rock and roll Nice boys don't play rock and roll Nice boys don't play rock and roll Nice boys!"
G N' R Lies,Move to the City,1988,"W. Axl Rose, Saul H Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler, Christopher Weber",2865239,"You pack your bags And you move to the city There's somethin' missin' here at home You fix your hair And you're lookin' real pretty It's time to get it out on your own You're always fightin' With your mama and you papa Your family life is one big pain! When you, you gonna move to the city? Into the city where it all began  You gotta move, You gotta move Ma, ma, ma, ma, ma, ma, ma, ma, ma Time you gotta move  You stole your mama's car And your daddy's plastic credit card You're sixteen and you can't get a job You're not goin' very far You're always ridin' With the teachers and the police This life is much too insane! When you, you gonna move to the city? Into the city where it all began  You gotta move, You gotta move Ma,ma,ma,ma,ma,ma,ma,ma,ma Time you gotta move Right to the city Where the real men get it Aw, child, ain't it a pity? Sometimes it gets too shitty! Come on and hit me!  You're on the streets And it ain't so pretty You need to get a new what you please You do what you gotta do for the money At times you end up on your knees!  I'm always buyin' With the local and the junkies This city life is one big pain! But you, you had to move to the city Into the city where it all began  You gotta move, You gotta move Ma,ma,ma,ma,ma,ma,ma,ma,ma Time you gotta move Oh right to the city With the real nitty gritty Aw, child, ain't it a pity? Sometimes it gets too shitty! Come on and hit me!"
G N' R Lies,Mama Kin,1988,Steven Victor Tallarico,664381,"It ain't easy livin' like a gypsy Tell ya, honey, how it feels I've been dreamin' floatin' down stream And losin' touch with all that's real Whole lotta lover, keepin' undercover Never knowin' where you been-Oo yeah You've been fadin', always out paradin' Keep in touch with mama kin!  You always got your tail on the wag Spittin' fire from your mouth Just like a dragon You act like a perpetual drag You better check it out 'Cause someday soon You'll have to climb back on the wagon  It ain't easy livin' like you want to It's so hard to find piece of mind Yes it is The way I see it You got to say 'shee-it' But don't forget to drop me a line  Bald as an egg at eighteen And workin' for daddy's such a drag You still stuff your mouth With his beans You better check it out or someday soon You'll have to climb back on the wagon  Keep in touch with mama kin Tell her where you gone and been Livin' out your fantasy Sleepin' late and smokin' tea Keep in touch with mama kin Tell her where you gone and been Livin' out your fantasy Sleepin' late and suckin' me, oh no  It ain't easy livin' like you want to It's so hard to find piece of mind Yes it is The way I see it You got to say 'shee-it' But don't forget to drop me a line  Bald as an egg at eighteen And workin' for daddy's just a drag You still stuff your mouth With his beans You better check it out or someday soon You'll have to climb back on the wagon  Keep in touch with mama kin Tell her where you gone and been Livin' out your fantasy Sleepin' late and smokin' tea Keep in touch with mama kin Tell her where you gone and been Livin' out your fantasy Sleepin' late and suckin' me Ohh, ow, ow, ow, yeah! -ow"
G N' R Lies,Patience,1988,"W. Axl Rose, Saul Hudson, Duff Rose McKagan, Izzy Stradlin, Steven Adler",706984552,"One, two, one, two, three, four  Shed a tear 'cause I'm missin' you I'm still alright to smile Girl, I think about you every day now Was a time when I wasn't sure But you set my mind at ease There is no doubt you're in my heart now  Said woman take it slow, and it'll work itself out fine All we need is just a little patience Said sugar make it slow and we'll come together fine All we need is just a little patience (Patience) Mm, yeah  I sit here on the stairs 'Cause I'd rather be alone If I can't have you right now, I'll wait dear Sometimes I get so tense but I can't speed up the time But you know love there's one more thing to consider  Said woman take it slow and things will be just fine You and I'll just use a little patience Said sugar take the time 'cause the lights are shining bright You and I've got what it takes to make it We won't fake it, I'll never break it 'Cause I can't take it  Little patience, mm yeah, mm yeah Need a little patience, yeah Just a little patience, yeah Some more patience, yeah (I've been walking the streets at night, just trying to get it right) A little patience, yeah (Its hard to see with so many around You know I don't like being stuck in the crowd) Could use some patience, yeah (And the streets don't change but maybe the names) (I ain't got time for the game 'cause I need you) Gotta have more patience, yeah (Yeah, yeah but I need you) All need some patience (Ooh I need you, whoa I need you) Just a little patience is all you need (Ooh, this time, ah)"
G N' R Lies,Used to Love Her,1988,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler",5345637,"I used to love her, but I had to kill her I used to love her, but I had to kill her I had to put her, six feet under, and I can still hear her complain  I used to love her, but I had to kill her I used to love her, but I had to kill her I knew I'd miss her, so I had to keep her She's buried right in my back yard  I used to love her, but I had to kill her I used to love her, but I had to kill her She bitched so much. She drove me nuts, and now I'm happier this way I used to love her, but I had to kill her, and I can still hear her complain"
G N' R Lies,You're Crazy,1988,"Duff Rose Mckagan, Saul Hudson, Izzy Stradlin, Steven Adler, W. Axl Rose",,"Ow! I've been lookin' for a trace Lookin' for a heart Lookin' for a lover in a world That's much too dark Because you don't want my love, no, no You want to sati-satisfaction Oh yeah, oh yeah, oh yeah, ow! You don't need my love You got to find yourself another Another piece, another piece of the action Yeah, ow yeah, look out  Say where ya goin' What you gonna do? I been lookin' everywhere said I I been lookin' for you Because you don't want my love, no, no You want to sati-satisfaction Oh yeah, oh yeah, oh yeah You don't need my love You got to find yourself another Another piece, another piece Of the action  You're crazy, hey, hey You know you're crazy, oh my! You're fuckin' crazy, oh child You know you're crazy Ay,ay,ay,ay,ay,ay,ah,ah,ah,oooh, yeah! Woh yeah, oh yeah, oh yeah, oh yeah Oh na,no,na,no,na,no,na,no,na,no,no,no No,no,no,no,no,no,no,no,no,no,no,no,no No,no,no, no, no, no, no,no,no,no,no,no No,no,no! Oh no, oh no, oh no, oh no, oh no, ow! Woooaaah, hayow!  Say, boy, where ya comin' from? Where'd ya get that point of view? When I was younger I knew a motherfucker like you And she said 'You don't need my love You want to sati-satisfaction' Bitch you don't need my love You've got to find yourself another Another piece, another piece Of the action  You're crazy, hey, hey You know you're crazy, oh my! You're fuckin' crazy, oh child You know you're crazy, Ay, ay, ay, ay You know you're crazy, Hey, hey You're fuckin' crazy, Oh child You know you're crazy, Ay, ay, ay, ay You're fuckin' crazy, yeah You know you are! Bring it down! You're fuckin' crazy!"
G N' R Lies,One in a Million,1988,"W. Axl Rose, Saul Hudson, Duff Rose McKagan, Izzy Stradlin, Steven Adler",4041993,"One, two, one, two, three, four Yes I needed some time to get away I needed some peace of mind Some peace of mind that'll stay  So I thumbed it, now it's six in L.A. Maybe a Greyhound could be my way   Police and niggers, that's right  Get outta my way Don't need to buy none of your  Gold chains today Now don't need no bracelets  Clamped in front of my back Just need my ticket 'till then Won't you cut me some slack  You're one in a million Yeah that's what you are You're one in a million babe You're a shooting star Maybe some day we'll see you Before you make us cry You know we tried to reach you But you were much to high Much too high Much too high Much too high  Immigrants and fagots They make no sense to me They come to our country  And think they'll do as they please Like start some mini-Iran Or spread some fucking disease And they talk so many God damn ways It's all Greek to me  Well some say I'm lazy And others say that's just me Some say I'm crazy I guess I'll always be But it's been such a long time Since I knew right from wrong It's all the means to and end I'm  I keep it moving along Hey, hey, hey, yeah  You're one in a million You're a shooting star You're one in a million babe You know that you are Maybe some day we'll see you Before you make us cry You know we tried to reach you But you were much to high Much too high  Much too high Much too high  Radicals and racists Don't point your finger at me I'm a small town white boy Just tryin' to make ends meet Don't need your religion  Don't watch that much TV Just makin' my livin' baby  Well that's enough for me  You're one in a million Yeah that's what you are You're one in a million babe You're a shooting star Maybe some day we'll see you Before you make us cry You know we tried to reach you But you were much too high Much too high yeah, yeah, yeah Much too high Much too high  Much too high yeah, yeah, yeah Much too high  Much too high Much too high  Much too high Much too high  Much too high"
