,,Ano,compositores,visualizacoes,letra
Use Your Illusion I,Right Next Door To Hell,1991,"Timo Caltio, W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt Sorum",3352930,"I'll take a nicotine, caffeine, sugar fix      Jesus don't ya git tired of turnin' tricks      But when your innocence dies      You'll find the blues      Seems all our heroes were born to lose      Just walkin' through time      You believe this heat      Another empty house another dead end street      Gonna rest my bones an sit for a spell      This side of heaven this close to Hell       Right next door to hell      Why don't you write a letter to me yeah      I said I'm right next door to hell      An so many eyes are on me      Right next door to hell      I got nowhere else to be      Right next door to hell      Feels like the walls are closing in on me       My mamma never really said much to me      She was much too young and scared ta be      Hell ""Freud"" might say that's what I need      But all I really ever get is greed      An most my friends they feel the same      Hell we don't even have ourselves to blame      But times are hard and thrills are cheaper      As your arms get shorter      Your pockets get deeper       Right next door to hell      Why don't you write a letter to me yeah      I said I'm right next door to hell      An so many eyes are on me      Right next door to hell      I never thought this is where I'd be      Right next door to hell      Thinkin' time'll stand still for me       F*ck you      Bitch       Not bad kids just stupid ones      Yeah we thought we'd own the world      An gettin' used was havin' fun      I said we're not sad kids just lucid ones yeah      Flowin' through life not collectin' anyone      So much out there      Still so much to see      Time's too much to handle      Time's too much for me      It drives me up the walls      Drives me out of my mind      Can you tell me what this means...huh?"
Use Your Illusion I,Dust N' Bones,1991,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt Sorum",3546190,"He lost his mind today He left it out back on the highway On ""65""  She loved him yesterday Yesterday's over I said okay That's all right Time moves on That's the way We live an hope to see the next day That's all right  Sometimes these things they are so easy Sometimes these things they are so cold Sometimes these things just seem to rip you right in two Oh no man don't let 'em get ta you  She loved him yesterday He laid her sister She said O.K. An that's all right Buried her things today Way back out deep Behind the driveway And that's all right  Sometimes these women are so easy Sometimes these women are so cold Sometimes these women seem to rip you right in two Only if you let 'em get to you  Ya get out on your own And you/take all that you own And you/forget about your home And then you're/just fuckin' gone  There's no logic here today Do as you got to, go your own way I said that's right Time's short your life's your own And in the end We are just  Dust n' bones"
Use Your Illusion I,Live And Let Die,1991,"Linda McCartney, Paul James McCartney",72516509,When you were young and your heart  Was an open book You used to say live and let live (You know you did) (You know you did) (You know you did)  But if this ever changin' world In which we live in Makes you give in and cry Say live and let die Live and let die  What did it matter to ya When you got a job to do you got to do it well You got to give the other fella hell  You used to say live and let live (You know you did) (You know you did) (You know you did)  But if this ever changin' world In which we live in Makes you give in and cry Say live and let die Live and let die
Use Your Illusion I,Don't Cry [Original],1991,"Duff Rose McKagan, Izzy Stradlin, Matt Sorum, Saul Hudson, W. Axl Rose",,"Talk to me softly There's something in your eyes Don't hang your head in sorrow And please don't cry I know how you feel inside I've I've been there before Somethin's changin' inside you And don't you know  Don't you cry tonight I still love you baby Don't you cry tonight Don't you cry tonight There's a heaven above you baby And don't you cry tonight  Give me a whisper And give me a sigh Give me a kiss before you tell me goodbye Don't you take it so hard now And please don't take it so bad I'll still be thinkin' of you And the times we had, baby  And don't you cry tonight Don't you cry tonight Don't you cry tonight There's a heaven above you baby And don't you cry tonight  And please remember That I never lied And please remember how I felt inside now honey You gotta make it your own way But you'll be alright now sugar You'll feel better tomorrow Come the morning light now baby  And don't you cry tonight And don't you cry tonight And don't you cry tonight There's a heaven above you baby And don't you cry Don't you ever cry Don't you cry tonight Baby maybe someday Don't you cry Don't you ever cry Don't you cry Tonight"
Use Your Illusion I,Perfect Crime,1991,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt Sorum",1929742,"Kickin' back in the shadows Got no need for the light Who's sorry now old timer Look at how you've spent your life Scroungin' for change To put some money in your pocket My how scratch does burn Laughin' at the fuckers as you piss it away  But I got the time and I got the muscle I got the need to lay it all on the line I ain't afraid of your smoke screen hustle It's a perfect crime God dammit it's a perfect crime Mother fucker it's a perfect crime  I said it's perfect  An keep the demons down And drag the skeletons out I got a blind man followin' me in chains I said he's fun to watch When the world has stopped An I think he's got somethin' to say ""You want to f*ck with me?  Don't f*ck with me 'Cause I'm what you'll be, so don't f*ck with me If you had better sense You'd step aside from the bad side of me Don't f*ck wit da bad side o' me Stay way from the bad side o' me Don't f*ck wit da bad side""  T minus 1:09 and counting...  Ostracized but that's all right I was thinkin' about somethin' myself  One, two, three, four, five, six, seven, eight  Call on everybody who's got last rites Said it's better If you locked 'em away Runnin' through the visions At the speed of light Won't ya let me be Mother fucker just let me be God dammit better let me be Don't ya know ya better let me aaahh!  Perfect crime God dammit it's a a perfect crime Mother fucker it's a perfect crime Don't ya know It's a perfect crime"
Use Your Illusion I,You Ain't The First,1991,"(USA 2) SLASH, IZZY STRADLIN, DUFF MC KAGAN, DARREN A REED, MATT SORUM, W. AXL ROSE",4503,"I tried so hard just to get through to you But your head's so far From the realness of truth Was it just a come on in the dark Wasn't meant to last long I think you've worn your welcome honey I'll just see you along as I sing you this song  Time can pass slowly  Things always change Your day's been numbered And I've read your last page You was just a temporary love But honey you ain't the first Lots of other come before you woman Said but you been the worst Said you been the worst  So goodbye to you girl So long, farewell I can't hear you cryin' Your jivin's been hell So look for me walkin'  Down your street at night I'll be in with another Deep down inside Deep down inside"
Use Your Illusion I,Bad Obsession,1991,"W. Axl Rose, West Arkeen, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt Sorum Matt Sorum",2884011,"I can't stop thinkin' Thinking 'bout sinkin' Sinkin' down into my bed I call my mother She's just a cunt now She said I'm sick in the head She said you ain't special So who you foolin' Don't try ta give me a line But I can't stop thinkin' 'bout Seein' ya one more time (Oh no) But I already left you And you're better off left behind  It's a bad obsession It's always messin' It's always messin' my mind It's a bad obsession It's always messin' It's always messin' my mind  Too bad you're fucked up  I used to be wasted Always tried to take it Take it down into my vein I call the doctor He's just another He said I'm sick in the brain He said you ain't special So who you foolin' Don't try ta give me a line But I can't stop thinkin' 'bout Doin' it one more time (Oh no) But I already left you And you're better off left behind (Oh yeah)  Aw it's a bad obsession It's always messin' It's always messin' my mind It's a bad obsession It's always messin' It's always messin' my mind  So bad...  Boy  It's a It's a Heads up It's a bad obsession It's always messin' It's always messin' my mind Now it's a bad obsession It's always messin' It's always messin' my mind  But I can't stop thinkin' 'bout Doin' it one more time (Oh no) See I already left you And you're better off left behind (Oh no, oh no) It's a bad obsession And you're always messin' my mind See I already left you And you're better off left behind Uh huh...no  Maybe you'll do better next time Punk!!"
Use Your Illusion I,Back Off Bitch,1991,"W. Axl Rose, Paul Tobias, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt Sorum",2948574,"Oh baby, pretty baby Oh honey, you let me down honey I ain't playin' childhood games no more I said it's time for me To even the score So stake your claim Your claim to fame But baby call another name When you feel the fire And taste the flame  Back off, back off bitch Down in the gutter dyin' in the ditch You better back off, back off bitch Face of an angel with the love of a witch Back off, back off bitch Back off, back off bitch  Makin' love Cheap heartbreaker, broken backed Nasty ballbreaker, stay out of my bed, outta my head If it's lovin' you I'm better off dead  Back off, back off bitch Down in the gutter dyin' in the ditch You better back off, back off bitch Face of an angel with the love of a witch Back off, back off bitch Back off, back off bitch  Emotions ripped, gone on a binge Life lipped, I said you're off the hinge Tellin' lies of such fame and glory I don't even want to hear your story  Back off, back off bitch Down in the gutter dyin' in the ditch You better back off, back off bitch Face of an angel with the love of a witch Back off, back off bitch It's such a pity that you're such a bitch  Back off, back off bitch It's time to burn-burn the witch Back off, back off bitch Back off, back off bitch Back off, back off bitch Bitch Bitch Bitch Bitch Hey wha'd'ya think he's tryin' to say there, anyway? I think it's something each person's s'posed to take in their own special way Fucking bitch"
Use Your Illusion I,Double Talkin' Jive,1991,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt So Sorum",2521176,Found a head and an arm in da garbage can Don't know why I'm here Livin' on the run for oh so long I gotta go collect Double talkin' jive Get the money motherfucker 'Cause I got no more patience Double talkin' I got (Lies) No more patience man  Back in town an'a all new friends They sayin' how ya been? Fucked up and outta place That's how I felt back then Double talkin' jive Get the money motherfucker 'Cause I got no more patience Double talkin' I got (Lies) No more patience man You dig what I'm sayin'?
Use Your Illusion I,November Rain,1991,"Saul Hudson, Izzy Stradlin, Duff McKagan, Darren A Reed, Matt Sorum, W. Axl Rose",1939157310,"When I look into your eyes I can see a love restrained But darlin' when I hold you Don't you know I feel the same  Nothin' lasts forever And we both know hearts can change And it's hard to hold a candle In the cold November rain  We've been through this such a long long time Just tryin' to kill the pain, oo yeah But love is always coming and love is always going And no one's really sure who's lettin' go today Walking away  If we could take the time To lay it on the line I could rest my head Just knowin' that you were mine All mine So if you want to love me Then darlin' don't refrain Or I'll just end up walkin' In the cold November rain  Do you need some time on your own Do you need some time all alone Everybody needs some time On their own Don't you know you need some time all alone  I know it's hard to keep an open heart When even friends seem out to harm you But if you could heal a broken heart Wouldn't time be out to charm you  Sometimes I need some time on my Own Sometimes I need some time all alone Everybody needs some time On their own Don't you know you need some time all alone  And when your fears subside And shadows still remain, oh yeah I know that you can love me When there's no one left to blame So never mind the darkness We still can find a way 'Cause nothin' lasts forever Even cold November rain  Don't ya think that you need somebody Don't ya think that you need someone Everybody needs somebody You're not the only one You're not the only one  Don't ya think that you need somebody Don't ya think that you need someone Everybody needs somebody You're not the only one You're not the only one  Don't ya think that you need somebody Don't ya think that you need someone Everybody needs somebody You're not the only one You're not the only one  Don't ya think that you need somebody Don't ya think that you need someone Everybody needs somebody"
Use Your Illusion I,The Garden,1991,"W. Axl Rose, West Arkeen, Del James, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Darren A. Reed, Matt Sorum",8782437,"You know you're all alone Your friends they aren't at home Everybody's gone to the garden As you look into the trees You can look but you don't see The flowers seem to tease you at the garden Everybody's there, but you don't seem to care What's it with you man, and this garden  Turned into my worst phobia A crazy man's utopia If you're lost no one can show ya But it sure was glad to know ya Only poor boys take a chance On the garden's song and dance Feel her flowers as they wrap around But only smart boys do without  You can find it all inside No need to wrestle with your pride No you ain't losin' your mind You're just in the garden They can lead you to yourself Or you can throw it on the shelf But you know you can look inside For the garden  I wasn't really scared Lost my virginity there To a gypsy with blond hair But now no one seems to care Like a mouse inside a maze Wandering 'round four days With a smile upon my face I never want to leave this place Only poor boys take a chance On the garden's song and dance Feel her flowers as they wrap around But only smart boys do without Turned into my worst phobia A crazy man's utopia If you're lost no one can show ya But it sure was glad to know ya Bye bye So long, bye bye It's glad to know ya Bye bye Bye bye Aw...so long"
Use Your Illusion I,Garden Of Eden,1991,"Saul Hudson, Izzy Stradlin, Duff Rose Mckagan, Darren A. Reed, Matt Sorum, W. Axl Rose",25110343,It's a critical solution And the east coast got the blues It's a mass of confusion Like the lies they sell to you  You got a glass jawed toothache Of a mental disease An they be runnin' round back See 'em line up on their knees Cause the kiss ass sycophants Throwin' penance at your feet  When they got nowhere to go Watch 'em come in off the streets While they're bangin' out front Inside their slammin' to the cruch Go on an throw me to the lions And the whole damn screamin' bunch Cause the pissed-off rip-offs Are' everywhere you turn Tell me how a generation's Ever s'posed to learn This fire is burnin' And it's out of control It's not a problem you can stop It's rock n' roll  I read it on a wall It went straight to my head It said Dance to the tension Of a world on edge We got racial violence And who'll cast the first stone And sex is used anyway it can be Sometimes when I look out It's hard to see the day It's a feelin' you can have it It's not mine to take away  Lost in the garden of Eden Said we're lost in the garden of Eden And there's no one's gonna believe this But we're lost in the garden of Eden This fire is burnin' And it's out of control It's not a problem you can stop It's rock n' roll Suck on that  Looking through this point of view There's no way I'm gonna fit in Don't ya tell me what my eyes see Don't ya tell me who to believe in I ain't superstitious But I know when somethin's wrong I've been draggin' my heels With a bitch called hope Let the undercurrent drag me along  Lost in the garden of Eden Said we're lost in the garden of Eden And there's no one's gonna believe this But we're lost in the garden of Eden  Most organized religions make A mockery of humanity Our governments are dangerous And out of control The garden of Eden is just another graveyard Said if they had someone to buy it Said I'm sure they'd sell my soul  This fire is burnin' And it's out of control It's not a problem you can stop It's rock n' roll Lost in the garden of Eden (An we ain't talkin' about no poison apple or some missin' rib ya hear) Said we're lost in the garden of Eden And there's no one's gonna believe this Said we're lost in the garden of Eden This fire is burnin' And it's out of control It's not a problem you can stop It's rock n' roll
Use Your Illusion I,Don't Damn Me,1991,"W. Axl Rose, Izzy Stradlin, Duff Rose Mckagan, David Lank, Darren A. Reed, Matt Sorum",69553,"Don't damn me When I speak a piece of my mind 'Cause silence isn't golden When I'm holding it inside 'Cause I've been where I have been An I've seen what I have seen I put the pen to the paper 'Cause it's all a part of me  Be it a song or a casual conversation To hold my tongue speaks Of quiet reservations Your words once heard They can place you in a faction My words may disturb But at least there's a reaction  Sometimes I want to kill Sometimes I want to die Sometimes I want to destroy Sometimes I want to cry Sometimes I could get even Sometimes I could give up Sometimes I could give Sometimes I never give a f*ck  It's only for a while I hope you understand I never wanted this to happen Didn't want to be a man So I hid inside my world I took what I could find I cried when I was lonely I fell down when I was blind  But don't damn me when I speak A piece of my mind 'Cause silence isn't golden When I'm holding it inside 'Cause I've been where I have been An I've seen what I have seen I put the pen to the paper 'Cause it's all a part of me  How can I ever satisfy you An how can I ever make you see That, deep inside we're all somebody An it don't matter who you want to be But now I gotta smile I hope you comprehend For this man can say it happened 'Cause this child has been condemned So I stepped into your world I kicked you in the mind An I'm the only witness To the nature of my crime  But look at what we've done To the innocent and young Whoa listen to who's talking 'Cause we're not the only ones The trash collected by the eyes And dumped into the brain Said it tears into our conscious thoughts You tell me who's to blame  I know you don't want to hear me crying An I know you don't want to hear me deny That your satisfaction lies in your illusions But your delusions are yours an not mine We take for granted that we know the whole story We judge a book by it's cover And read what we want Between selected lines  Don't hail me An don't idolize the ink Or I've failed in my attentions Can you find the missing link Your only validation is in living your own life Vicarious existence is a fucking waste of time So I send this song to the offended I said what I meant and I've never pretended As so many others do intending just to please If I damned your point of view Could you turn the other cheek  Don't damn me when I speak a piece a mind 'Cause silence isn't golden When I'm holding it inside I've been where I have been An I've seen what I have seen Put the pen to the paper 'Cause it's all a part of me Don't damn me I said don't damn me I said don't hail me Ah, don't damn me"
Use Your Illusion I,Bad Apples,1991,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy STRADLIN, Darren A. Reed, Matt Sorum",12173353,"Diamonds and fast cars Money to burn I got my head in the clouds I got these thoughts to churn Got my feet in the sand I got a house on the hill I got a headache like a mother Twice the price of my thrills An it's a cold day, It's a continental drift I said this traffic is hell Can you give me a lift An I'll try to paint a story Got your pictures to tell Yeah you got to make a living With what you bring yourself to sell  I got some genuine Imitation Bad Apples Free sample For your peace o' mind Only $9.95 I got my camera back from customs Got my law fees up to date Hell they musta seen me comin' Ain't this life so fuckin' great  When the shit hit the fan It was all I could stand Yeah, well I'm a frequent flyer My body's breathing while it can But what I don't understand is that My world ain't gettin' no brighter If I could touch the sky Well I would float on by While everybody's talkin' Hell I'm just another guy If it were up to me I'd say just leave me be Why let one bad apple Spoil the whole damn bunch  Gold and caviar Now why'nt you pour my apathy I'd have all my bases covered If I could teach my hands to see But now we're down in the deep end Where they'd love to watch you drown I said your laundry could use washing We'll hang it up all over town I said Hollywood's like a dryer An we're down on Sunset Strip An you'll be suckin' down the Clorox 'Til your life's all nice and crisp  When the shit hit the fan It was all I could stand Yeah, well I'm a frequent flyer My body's breathing while it can But what I don't understand is that My world ain't gettin' no brighter If I could touch the sky Well I would float on by While everybody's talkin' Hell I'm just another guy If it were up to me I'd say just leave me be Why let one bad apple Spoil the whole damn bunch  When the shit hit the fan It was all I could stand Yeah, well I'm a frequent flyer My body's breathing while it can But what I don't understand is that My world ain't gettin' no brighter If I could touch the sky Well I would float on by While everybody's talkin' Hell I'm just another guy If it were up to me I'd say just leave me be Why let one bad apple Spoil the whole damn bunch Why let one bad apple Spoil the whole damn bunch Boy!!"
Use Your Illusion I,Dead Horse,1991,"Saul Hudson, Izzy Stradlin, Duff Mc Kagan, Dareen A. Reed, Matt Sorum, W. Axl Rose",40059907,"Sick of this life Not that you'd care I'm not the only one with Whom these feelings I share  Nobody understands, Quite why we're here We're searchin' for answers That never appear  But maybe if I looked real hard I'd I'd see your tryin' too To understand this life, That we're all goin' through (Then when she said she was gonna like wreck my car... I didn't know what to do)  Sometimes I feel like I'm beatin' a dead horse An I don't know why you'd be bringin' me down I'd like to think that our love's worth a tad more It may sound funny but you'd think by now I'd be smilin' I guess some things never change Never change  I met an old cowboy I saw the look in his eyes Somethin' tells me he's been here before 'Cause experience makes you wise I was only a small child When the thought first came to me That I'm a son of a gun and the gun of a son That brought back the devil in me  Sometimes I feel like I'm beatin' a dead horse An I don't know why you'd be bringin' me down I'd like to think that our love's worth a tad more It may sound funny but you'd think by now I'd be smilin' I guess some things never change Never change  I ain't quite what you'd call an old soul Still wet behind the ears I been around this track a couple o' times But now the dust is startin' to clear Oh yeah!!!  Sometimes I feel like I'm beatin' a dead horse An I don't know why you'd be bringin' me down I'd like to think that our love's worth a tad more It may sound funny but you'd think by now I'd be smilin' Ooh yeah, I'd be smilin' No way I'd be smilin' Ooh smilin'"
Use Your Illusion I,Coma,1991,"Saul Hudson, Izzy Stradlin, Duff Mc Kagan, Darren A Reed, Matt Sorum, W. Axl Rose",5429047,"See you've caught me in a coma And I don't think I want to  Ever come back to this  World again Kinda like it in a coma 'Cause no one's ever gonna Oh make me come back to this World again  Now I feel as if I'm floating away I can't feel the pressure  And I like it this way But my body's calling, my body's calling Want me to come back to this World again  Suspended deep in a sea of black I got the light at the end I got the bones on the mast Well, I've gone sailing, I've gone sailing I could leave so easily My friends are calling back to me I said yeah, They're leaving it all up to me when All I needed was clarity And someone to tell me what the f*ck is going on Goddammit  Slippin' farther and farther away It's a miracle how long we can stay In a world our minds created In a world that's full of shit  Please understand me I'm climbin' through the wreckage  Of all my twisted dreams And this cheap investigation Just can't stifle all my screams And I'm waiting At the crossroads Waiting for you Waiting for you Where are you  No one's gonna bother me anymore No one's gonna mess with my head no more I can't understand what all the fightin's for But it's so nice here down off the shore I wish you could see this  Cause there's nothing to see It's peaceful here and its fine with me Not like the world where I used to live I never really wanted to live...  Zap him again... Zap the son of a bitch again  Live your life like it's a coma Won't you tell me why we'd want to With all the reasons you give It's kinda hard to believe  But who am I to tell you that I've seen any reason Why you should stay Maybe we'd be better off without you anyway I got a one way ticket on your last chance ride Got a one way ticket to your suicide Got a one way ticket and there's no way out alive  And all this crass communication that has left you in the cold Isn't much for consolation when you feel so weak and old But if home is where the heart is  Then there's stories to be told No, you don't need a doctor No one else can heal your soul  Got your mind in submission Got your life on the line But nobody pulled the trigger They just stepped aside They'll be down by the water While you watch 'em wavin' goodbye  They'll be callin' in the morning They'll be hanging on the phone They'll be waitin' for an answer But you know nobody's home And when the bells stop ringing It was nobody's fault but your own  There were always ample warning There were always subtle signs And you would have seen them coming  But we gave you too much time And when you said that no one's listening Why'd your best friend drop a dime Sometimes we get so tired of waiting for a  Way to spend our time  And it's so easy to be social It's so easy to be cool Yeah, its easy to get hungry When you ain't got shit to lose And I wish that I could help you With what you hope to find But I'm still out here waiting Watching reruns of my life When you reach the point of breaking Know it's gonna take some time To heal those broken memories That another man would need Just to survive"
Use Your Illusion II,Civil War,1991,"W. AXL ROSE, SAUL HUDSON, DUFF ROSE MCKAGAN, IZZY STRADLIN, DARREN A. REED, MATT SORUM",56155435,"Look at your young men fighting Look at your women crying Look at your young men dying The way they've always done before  Look at the hate we're breeding Look at the fear we're feeding Look at the lives we're leading The way we've always done before  My hands are tied The billions shift from side to side And the wars go on with brainwashed pride For the love of God and our human rights And all these things are swept aside By bloody hands time can't deny And are washed away by your genocide And history hides the lies of our civil wars  D'you wear a black armband When they shot the man Who said ""peace could last forever"" And in my first memories They shot Kennedy I went numb when I learned to see So I never fell for Vietnam We got the wall of D.C. to remind us all That you can't trust freedom When it's not in your hands When everybody's fightin' For their promised land And  I don't need your civil war It feeds the rich while it buries the poor Your power hungry sellin' soldiers In a human grocery store Ain't that fresh I don't need your civil war Ow, oh no, no, no, no, no  Look at the shoes you're filling Look at the blood we're spilling Look at the world we're killing The way we've always done before Look in the doubt we've wallowed Look at the leaders we've followed Look at the lies we've swallowed And I don't want to hear no more  My hands are tied For all I've seen has changed my mind But still the wars go on as the years go by With no love of God or human rights 'Cause all these dreams are swept aside By bloody hands of the hypnotized Who carry the cross of homicide And history bears the scars of our civil wars  I don't need your civil war It feeds the rich while it buries the poor Your power hungry sellin' soldiers In a human grocery store Ain't that fresh I don't need your civil war No, no, no, no, no, no, no, no, no, no, no, no I don't need your civil war I don't need your civil war Your power hungry sellin' soldiers In a human grocery store Ain't that fresh I don't need your civil war No, no, no, no, no, no, no, no, no uh-oh-uh, no uh-oh, uh no I don't need one more war  I don't need one more war No, no, no, no uh-oh-uh, no uh-oh, uh no Whaz so civil 'bout war anyway?"
Use Your Illusion II,14 Years,1991,"W. AXL ROSE, SAUL HUDSON, DUFF ROSE MCKAGAN, IZZY STRADLIN, DARREN A. REED, MATT SORUM",5199719,"I try and feel the sunshine You bring the rain You try and hold me down With your complaints You cry and moan and complain You whine and tear Up to my neck in sorrow The touch you bring You just don't step inside to, to fourteen years So hard to keep my own head, that's what I say, you know I've been the beggar I've played the thief I was the dog, they all tried to beat  But it's been  Fourteen years of silence It's been Fourteen years of pain It's been Fourteen years that are gone forever And I'll never have again, well  Your stupid girlfriends tell you That I'm to blame Well, they're all used-up has-beens Out of the game This time I'll have the last word You hear what I say I tried to see it your way It won't work today You don't just step inside to, to fourteen years So hard to keep my own head, that's what I say You know, I've been the dealer hangin' on your street I was the dog, they all tried to beat  But it's been Fourteen years of silence It's been Fourteen years of pain It's been Fourteen years that are gone forever And I'll never have again, well  Yeah it's been, oh no!  Bullshit and contemplation Gossip's their trade If they knew half the real truth What would they say? Well I'm past the point of concern It's time to play These last four years of madness Sure put me straight You don't get back fourteen years In just one day So hard to keep my own head Just go away You know, just like a hooker she said Nothin' is free Oh I tried to see it your way I tried to see it your way"
Use Your Illusion II,Yesterdays,1991,"W. AXL ROSE, WEST ARKEEN, BILLY MCMCLOUD, SAUL HUDSON, DUFF ROSE MCKAGAN, IZZY STRADLIN, DEL JAMES, DARREN A. REED, MATT SORUM",20611135,"Yesterday, there was so many things I was never told Now that I'm startin' to learn I feel I'm growin' old  'Cause yesterday's got nothin' for me Old pictures that I'll always see Time just fades the pages In my book of memories Prayers in my pocket And no hand in destiny I'll keep on movin' along With no time to plant my feet  'Cause yesterday's got nothin' for me Old pictures that I'll always see Some things could be better If we'd all just let them be  Yesterday's got nothin' for me Yesterday's got nothin' for me Got nothin' for me  Yesterday there were so many things I was never shown Suddenly this time I found I'm on the streets and I'm all alone  Yesterday's got nothin' for me Old pictures that I'll always see I ain't got time to reminisce old novelties  Yesterday's got nothin' for me Yesterday's got nothin' for me Yesterday's got nothin' for me Yesterday  Yesterday"
Use Your Illusion II,Knockin' on Heaven's Door,1991,Bob Dylan,157827133,"Mama take this badge from me I can't use it anymore It's getting dark too dark to see Feels like I'm knockin' on heaven's door  Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door, eh yeah  Mama put my guns in the ground I can't shoot them anymore That cold black cloud is comin' down Feels like I'm knockin' on heaven's door  Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door  (You just better start sniffin' your own rank subjugation jack) ('Cause it's just you against your tattered libido) (The bank and the mortician) (Forever man and it wouldn't be luck if you could get out of life alive)  Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door  Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door Knock-knock-knockin' on heaven's door, wow oh yeah"
Use Your Illusion II,Get in the Ring,1991,"(USA 2) SLASH, IZZY STRADLIN, DUFF MC KAGAN, DARREN A REED, MATT SORUM, W. AXL ROSE",4018358,"Why do you look at me when you hate me? Why should I look at you when you make me hate you too? I sense a smell of retribution in the air I don't even understand why the f*ck you even care And I don't need your jealousy yeah Why drag me down in your misery  And when you stare you don't think I feel it But I'm gonna deal it back to you in spades When I'm havin' fun ya know I can't conceal it 'cause I know you'd never cut in my game, oh no And when you're talkin' about a vasectomy, yeah I'll be writin' down your obituary...history!  You got your bitches with the silicone injections Crystal meth and yeast infections Bleached blond hair, collagen lip projections Who are you to criticize my intentions? Got your subtle manipulative devices Just like you I got my vices I got a thought that would be nice I'd like to crush your head tight in my vice...pain!!  And that goes for all of you punks in the press That want to start shit by printin' lies instead of the things we said That means you andy secher at hit parader, circus magazine Mick wall at kerrang, bob guccione jr. at spin What you pissed off 'cause your dad gets more pussy than you? F*ck you! suck my fuckin' dick!  You be rippin' off the fuckin' kids While they be payin' their hard earned money to read about the bands they want to know about Printin' lies, startin' controversy You want to antagonize me? antagonize me motherfucker! Get in the ring motherfucker! and I'll kick your bitchy little ass! punk!!  I don't like you, I just hate you I'm gonna kick your ass, oh yeah! oh yeah!  You may not like our integrity yeah We built a world out of anarchy oh yeah!  And in this corner, weighing in at 850 pounds; guns n' roses!  Get in the ring(x16)  This song is dedicated to all the guns n' fuckin' roses fans Who stuck with us through all the fucking shit And to all those opposed...hmm...well..."
Use Your Illusion II,Shotgun Blues,1991,"(usa 2) Slash, Izzy Stradlin, Duff Mc Kagan, Darren A Reed, Matt Sorum, W. Axl Rose",1679586,I got the shotgun blues  Shotgun blues  I said I don't know what I did  But I know I gotta move  I got the shotgun blues  Shotgun blues  I can't wait here forever  I got too much here to lose   An now you're blowin' smoke  I think you're one big joke  Me...I gotta lot to learn  An I'm still waitin' for the heads to turn  You say I walk a line  F*ck they move it every time  You walk a mile in my shoes  And then you tell me 'bout singin' the blues  You get what you pay for  An freedom's real high priced  An while your rippin' off children  Somebody's fuckin' your wife  It's never made a difference  It's only how you survive   I got the shotgun blues  Shotgun blues  I said I don't know what I did  But I know I gotta move  I got the shotgun blues  Shotgun blues  I can't wait here forever  I got too much here to lose  An now you ask me why  I said it's do or die  I'll stick it right in your face  And then I'll put you in your motherfuckin' place  And you...you can suck my ass  An I think it's so low class  Me...I'm just so concerned  I'm still waitin' for your ass to burn  Ooooh you want a confrontation  I'll give you every fuckin' chance  With your verbal masturbation  Me...I just like to dance  How's that for provocation  I'm just makin' a stance  An I'm tired of the frustration  Of livin' inside of your lies  And I'm wired on indignation  I said somebody's got to die   I got the shotgun blues  Shotgun blues  I said I don't know what I did  But I know I gotta move  I got the shotgun blues  Shotgun blues  I can't stay here forever  I got too much here to lose  I got the shotgun blues  Shotgun blues  Listen motherfucker  You're about to pay your dues  I got the shotgun blues  Shotgun blues  If you're goin' up against me  Then you know you're gonna lose  I know  I know (there's ways- that we- can find)  I know  I know   You think anyone with an I.Q. over fifteen  Would believe your shit...fuckhead  Nothin' but a fuckin' pussy
